BAL_visit_0.3,BE_visit_0.3,BAL_eos_0.1,BE_eos_0.1,BAL_neut_0.1,BAL_feno_0.1,BE_feno_0.1
EIF4EBP3,SMNDC1,SMIM1,,,,
LYL1,PLOD1,EIF4EBP3,,,,
ENTPD1,ZNF362,ATP11B,,,,
DENND3,CREB3L1,KCNK6,,,,
TFEB,ILF2,TMEM63A,,,,
S100Z,UNC13D,GPR146,,,,
TDRD6,NSF,IL1R2,,,,
MT-ND5,GRK6,LTA4H,,,,
G0S2,ASS1,ZNF641,,,,
TAGLN,ESPL1,FAM49B,,,,
SHTN1,COLGALT1,FUCA1,,,,
DOT1L,CHMP7,SLC7A7,,,,
C10orf54,BAZ2B,IKZF3,,,,
SLC16A5,GALNT7,CASP1,,,,
SLFN13,C12orf60,NALCN,,,,
KL,HIST1H1B,DBN1,,,,
CDCA5,PGM2,PGM2,,,,
AFF3,MIS12,ALPK3,,,,
TUBB,MCM4,ELOVL3,,,,
IL27RA,GSN,ROGDI,,,,
MDH1B,CSTA,RCOR3,,,,
GATAD1,HOMER2,ZEB1,,,,
TNFRSF12A,SLC17A5,GALNT12,,,,
NBEAL2,TUBA1B,CRELD1,,,,
CHST9,SHISA2,HLX,,,,
SH3KBP1,GAS2L1,SASH1,,,,
C9orf40,CASP3,GSE1,,,,
IFITM2,SPOCK3,SNX33,,,,
SKA2,DDC,MEST,,,,
CDC6,FAM127B,DEPDC5,,,,
PFKP,NDST2,MYCL,,,,
SLC19A3,SH3PXD2B,FAM60A,,,,
GIMAP7,TUBA1C,BANK1,,,,
MARCH1,POLG2,SERINC5,,,,
MKL2,ZNF835,DDHD1,,,,
TLR8,WNT4,RGS12,,,,
PROM1,GKAP1,CLEC17A,,,,
NDE1,CALCRL,ICOS,,,,
ZNF540,HID1,S100P,,,,
TMEM130,INA,EXOC3L4,,,,
ADAM15,ZNF502,MAGEF1,,,,
PXN,SELPLG,HDAC1,,,,
RFC4,MEIG1,IL17RB,,,,
VAMP3,RAP2A,NUCB1,,,,
ATL1,AKAP9,FURIN,,,,
ZC2HC1A,WFDC1,COQ5,,,,
CST7,SYT16,SORBS3,,,,
NFE2,CCL26,CYB5R3,,,,
IFI44L,ZNF782,CYB5D2,,,,
LIG3,TAF3,TSEN54,,,,
PROS1,CDCA8,CDK18,,,,
ANKS1A,LRRC74B,PTGER4,,,,
BEGAIN,PCLO,ARHGEF11,,,,
ARHGAP9,CDK11B,TNFRSF10B,,,,
ACKR3,BTN1A1,RNASE2,,,,
IL2RA,ZMYM5,SIDT2,,,,
GFOD1,CFLAR,QPCT,,,,
EIF2AK4,ZNF662,CCL2,,,,
NFKB2,FIBIN,COLGALT2,,,,
P4HA1,TMEM98,ODF3L1,,,,
RAB42,HYOU1,CCDC171,,,,
COL18A1,QSOX1,CAMK4,,,,
BIRC3,CEBPD,C2orf71,,,,
ARHGAP6,CISH,DGKA,,,,
TMEM52B,LSR,FOXP2,,,,
HIST1H2AC,LRR1,FOXI1,,,,
NOV,STXBP2,TRPV4,,,,
ZNF83,AHCY,DUS2,,,,
NRIP3,POU2F1,RNASE1,,,,
RNF114,PAIP1,ATP8B2,,,,
PDE1B,RAB32,CRAT,,,,
PREX1,TREM2,TRIM36,,,,
SLC25A45,TUBG2,TSEN2,,,,
SNRPA,ANKRD12,IFITM2,,,,
KAZALD1,CFAP54,TRABD,,,,
DUS2,PIK3R6,MTL5,,,,
ADAMTSL4,MTFP1,PYGB,,,,
LTA4H,BAZ1A,NUP50,,,,
PRSS12,ANKRD46,FAM83F,,,,
CENPU,SRSF7,TRPV2,,,,
BCAS1,RAB17,EIF4E3,,,,
AQP1,KLHL9,SOWAHC,,,,
SLCO3A1,SLC46A3,SMOC1,,,,
DZIP1L,FANCI,AZU1,,,,
GSTA2,ADAMTS1,ORMDL3,,,,
MOCS1,NSMCE4A,ARHGEF28,,,,
TARBP1,CCND3,OPHN1,,,,
CDKN2D,TMEM31,ITGB5,,,,
SWAP70,C18orf25,SUB1,,,,
BNIP3L,MAPRE2,MEI1,,,,
CYBRD1,ACKR2,FGD5,,,,
E2F7,PDLIM7,LPL,,,,
CDC42SE1,ATN1,EPHX1,,,,
VWA7,OTUD1,NECAP2,,,,
HDAC7,PTGDR,ANKS1A,,,,
HGF,TBC1D5,C9orf40,,,,
PIM2,NRM,SLC7A5,,,,
LRRC25,PSMD2,SELL,,,,
ETS1,GATAD2A,C16orf74,,,,
GPR84,GTF2A1,UNKL,,,,
DNAJB11,COPS7A,ENHO,,,,
SLC7A11,LYPD3,SLC31A1,,,,
TRABD,ALAS1,MEX3C,,,,
NREP,CD1A,CSPG4,,,,
PARM1,ELF3,RASGRP3,,,,
CSK,C19orf54,ACVRL1,,,,
SATB1,IGFALS,PEX11A,,,,
MELK,HDLBP,OCIAD2,,,,
MERTK,SFTPA2,GPATCH2,,,,
VCAN,SPAG17,KMT2E,,,,
ZBTB4,ANKRA2,CCR2,,,,
TACC3,PDE3B,FAM89A,,,,
MAP2K2,USP51,PARP3,,,,
GABRB3,CDC14A,GPX2,,,,
CCDC30,TGM2,TESPA1,,,,
GALNT10,FEN1,TXNRD2,,,,
SIPA1,FFAR4,TYK2,,,,
GCNT1,POT1,RNF145,,,,
DUSP22,ZNF829,ANGPT4,,,,
CDHR3,CXCL2,C1orf54,,,,
SNX8,GOSR2,SAMD9L,,,,
ZMIZ1,SPRR1A,C10orf105,,,,
EPHB3,GSTM2,VGLL3,,,,
TUBA4A,CCDC153,ACADS,,,,
CLEC4C,SLC52A3,FCGR1B,,,,
AAK1,FAM109B,CHST11,,,,
POLE3,EIF3H,GYPC,,,,
ME1,TYW1B,TCF7L2,,,,
ST14,MIF,ABTB1,,,,
PLK1,SMIM21,AP1S2,,,,
FAT3,DNA2,FHL1,,,,
CFAP57,SLC2A8,KLHDC8B,,,,
CCDC114,AMN,CDK15,,,,
SYNJ2,SOCS2,PAK2,,,,
TNFRSF25,MAFG,SNRK,,,,
CCDC37,SNX8,JUN,,,,
NAP1L4,GALNT6,TET2,,,,
UBE2C,DEPDC1,CPE,,,,
WDR19,SYNGR2,GLB1,,,,
IL5RA,GNAQ,SIGLEC11,,,,
CRISPLD2,FSIP1,EXD2,,,,
RACGAP1,NMNAT2,VBP1,,,,
MT2A,ST6GAL1,ALDH2,,,,
CXADR,PLD6,ZFP36L2,,,,
PKD2,PPP1R9A,CCND1,,,,
TRIQK,PCNA,TAF5L,,,,
NGFR,GRPEL1,BPHL,,,,
FGF10,CTDSPL2,DZIP1L,,,,
STON1,EMC1,CYP27A1,,,,
SFN,MGAT2,TNFAIP8,,,,
GFRA2,BEST4,TSPAN31,,,,
P2RY11,OLAH,TCEAL4,,,,
TMEM220,TMEM45B,DTX4,,,,
ITIH5,GNAI2,SATB1,,,,
GPRIN3,CRYBB1,AAK1,,,,
CHAF1B,TG,PIPOX,,,,
SGOL2,TMEM150C,KDM1A,,,,
SHCBP1,PPP2R1A,NRROS,,,,
KCNJ8,GLRX3,C19orf35,,,,
CISH,ZNF333,CASP9,,,,
NOL4L,JAG2,BLOC1S6,,,,
RBP7,PCED1A,XPNPEP2,,,,
TPPP3,CSRNP1,IFIT2,,,,
FAM102B,TBXAS1,RASAL1,,,,
ERN1,SVOP,FAM19A3,,,,
IMPA2,CPT1A,MROH6,,,,
PBXIP1,CLDN16,VASH1,,,,
PPP1R16B,TMEM184B,ANO10,,,,
PTGDS,RAP1A,PROCR,,,,
CLUL1,LAMTOR2,LY6E,,,,
RELT,EDEM2,MLPH,,,,
CELF2,ZNF860,PTPRS,,,,
ALG9,SESN3,GPR171,,,,
MPZL3,RICTOR,PLCD3,,,,
DNAJC5B,PAPSS2,TOM1,,,,
IL13,GRB14,MAPK3,,,,
BBS2,P2RX1,SYCP2L,,,,
CLEC17A,MECP2,SPECC1,,,,
ABCB4,NCF4,SLC47A1,,,,
TMEM163,MLEC,GATS,,,,
AGPAT5,CDC45,IER2,,,,
CAT,GPI,TNIP1,,,,
MCM3,AVPI1,ALDH3A2,,,,
RNF146,BTBD18,KHDRBS3,,,,
SCG3,ZBTB47,WNT5A,,,,
BHLHE40,BORA,IQSEC3,,,,
SLC36A1,MBP,SYCP2,,,,
MGME1,C2CD4D,SRGAP3,,,,
TULP2,YPEL3,RSPO3,,,,
ACER3,ZNF506,MATK,,,,
YKT6,ALG12,ID3,,,,
CFD,H2AFZ,TMEM2,,,,
TET3,ESCO2,SMIM3,,,,
DCDC2B,GALNT13,NSUN7,,,,
MRVI1,OR51E1,CYP1B1,,,,
PRC1,ITCH,TSPAN18,,,,
SLC24A4,ABHD5,ARMT1,,,,
THBS1,ACTBL2,CCDC106,,,,
GAA,SREK1,TOX,,,,
ARMCX2,RAP1GDS1,CECR6,,,,
KCNA1,FNDC3B,ITIH5,,,,
REPS2,ZBTB44,SMCHD1,,,,
SEPT5,ASCL2,FGFR2,,,,
ARNTL2,PGM3,LRG1,,,,
BASP1,MELK,EEF2K,,,,
PLA2G16,WTAP,TSC22D1,,,,
TAF7,LRP2BP,IFT80,,,,
CXCR2,VASP,HIST1H4H,,,,
POLR2M,SLC5A6,GCSAML,,,,
ANKRD22,CAPN14,REPS2,,,,
SLC35E1,GRAMD3,ARHGEF40,,,,
TSPAN33,GAS1,FAM198B,,,,
MEOX1,SEC16A,HID1,,,,
CLIP4,CLDN20,SLC26A11,,,,
PI3,SNX1,ABTB2,,,,
NDC80,NME1,HCAR3,,,,
ADRB3,SDF4,AWAT2,,,,
ADAM28,MOSPD1,GBP3,,,,
ITM2A,PRDX4,IL17RA,,,,
PCDH7,PRRT2,GNL1,,,,
CD79B,DNMT3A,PKDREJ,,,,
PTP4A3,SNRPB,CDC42EP3,,,,
SERPINB6,MLLT6,RFTN1,,,,
ADARB1,PDXK,SLC35F2,,,,
ZRSR2,SIRPA,CCDC88B,,,,
TPST1,OR10G3,PGS1,,,,
MED13L,WBSCR16,FARSB,,,,
HYDIN,GULP1,LILRA1,,,,
ABCG1,CCDC23,PICK1,,,,
TPD52L2,MACROD2,DEF6,,,,
ABCC3,LINGO3,AVPI1,,,,
FGD2,HSPA5,LGALS3BP,,,,
EYA1,KCTD12,HADHB,,,,
ZFP90,RBM5,INPP1,,,,
HNRNPM,MTHFR,MR1,,,,
KIFC3,COCH,FIG4,,,,
DIAPH3,S100A14,GGA2,,,,
FRMD4A,MDN1,FLNB,,,,
LRRIQ1,RASSF1,PTGER2,,,,
PECR,ATP6V0D1,KCNK17,,,,
HJURP,ST6GALNAC1,EFNB1,,,,
YBX3,PIK3AP1,LCOR,,,,
RAC2,SP100,SMCO4,,,,
ZBBX,KMT2A,GPATCH11,,,,
THBD,FYCO1,RARA,,,,
FAM19A2,EEF2KMT,HIST1H2AC,,,,
MB,TFE3,TAGLN,,,,
THBS4,NAB2,FOXN3,,,,
GLCE,FAM76A,SPIRE2,,,,
CDCA8,ZNF74,FAM117A,,,,
PPP1R14B,ESYT1,AGO2,,,,
GPR160,DNAH9,STX11,,,,
LBR,GNA14,APLP2,,,,
CHURC1,SH3BGRL3,WFIKKN2,,,,
RRAGB,GOLGA7B,SNAP23,,,,
PKIG,ZNF266,UCK2,,,,
FAM20C,COL27A1,LMO7,,,,
CNR2,RFC2,ACSF2,,,,
SORL1,DIRAS3,SMAD1,,,,
TAP1,IMMT,DPPA4,,,,
TRIM38,EMB,FMO4,,,,
CEP85L,CEP126,DNAAF5,,,,
CLIC6,DBP,ZNF518B,,,,
CXCL16,GRM4,CPT1A,,,,
FUCA1,SUCNR1,SLC25A48,,,,
ASCC1,CLDN10,ACOT4,,,,
NME5,VNN2,TPSAB1,,,,
ADAM17,PIM3,COMT,,,,
MUC16,CLEC4A,HACD2,,,,
PPP1R12A,TM9SF4,CCDC50,,,,
GALNT1,HSD17B14,NFIX,,,,
SC5D,FGFBP1,PLA2G16,,,,
GYS1,ORC6,EDEM2,,,,
ELL2,CD101,SLC2A13,,,,
ENHO,SVOPL,TLR7,,,,
SEPT1,ENAH,ACP5,,,,
ZMYND15,ACO2,TLR10,,,,
KCNK6,APELA,GPR65,,,,
CYTL1,SPRR3,SLC38A6,,,,
HMMR,RAB38,TPST1,,,,
FAM183A,ENTPD4,PLXNB2,,,,
SSBP3,PURA,SNAI3,,,,
FHL1,TMEM245,TBC1D1,,,,
TOP2A,WDR55,ACO1,,,,
MVB12B,PFN1,MYO6,,,,
TLR10,CXCL17,SEMA4C,,,,
ADM,ADIPOR2,PARP14,,,,
FAM129C,ITPK1,RMDN3,,,,
TCEA3,PYGL,SLC25A26,,,,
STK26,CST1,DERL3,,,,
FCN1,ZNF709,ATP6AP1L,,,,
PIFO,DHX15,ANP32A,,,,
MACC1,TMEM79,TKTL1,,,,
MLEC,ERI2,KAZN,,,,
DMD,EEFSEC,SORD,,,,
C2orf40,PRELID1,CRLF3,,,,
MR1,KLRC1,BLVRA,,,,
GADD45G,C10orf88,GRIN2D,,,,
TES,STAM,SLC36A1,,,,
IRAK3,MAPK7,NAT9,,,,
CRELD2,HYLS1,DECR1,,,,
SMIM3,DBF4,TSPAN3,,,,
UBXN10,TM6SF1,P2RX7,,,,
CPVL,BOD1L1,TMEM104,,,,
WEE1,RRAGD,AOC3,,,,
ZEB1,IDH1,VSIG1,,,,
PAICS,POC1A,N4BP2,,,,
SCAMP1,PPP1R42,TRPM1,,,,
FKBP4,SLC5A5,TADA2B,,,,
STK17A,ARMT1,TAL1,,,,
CREBBP,ADAMTS17,IL1RL2,,,,
MYC,TESPA1,FCGR1A,,,,
VWA3A,RBM4,PIGQ,,,,
BUB1B,MAST3,KPTN,,,,
ATP10A,FAM200B,CRTAP,,,,
ATP8B2,MYCL,TET3,,,,
AASDH,PALD1,KAZALD1,,,,
ITGAL,COL10A1,TMEM56,,,,
TMEM74B,FBXO18,RLTPR,,,,
CMKLR1,MAPK8IP1,APOE,,,,
ENO2,RGS19,FAM127C,,,,
PEX11A,SCAMP3,OAS1,,,,
MUC4,A1BG,EPB41L4A,,,,
SFTPC,H2AFX,C2,,,,
BATF,APOBEC3D,DOCK5,,,,
MAP2K1,CCNO,ZNF395,,,,
PDGFC,ZGLP1,HDDC2,,,,
SPC25,ING2,ZNF331,,,,
IL18R1,SLC39A1,TMEM164,,,,
FGL2,LSM14B,RUFY4,,,,
MAPK13,MPEG1,RND3,,,,
ITGA7,PARPBP,SCPEP1,,,,
RAB11FIP4,ASRGL1,TFEB,,,,
ADGRE2,MIER3,GPD1,,,,
PLBD1,KLK7,SPIN4,,,,
GPCPD1,ACTR2,RGL2,,,,
ZNF229,ACTL10,SIKE1,,,,
FANCF,FAM188A,KIF16B,,,,
CFAP74,BHLHE40,AK4,,,,
SCPEP1,ZNF559,SMYD2,,,,
SRSF5,VKORC1,REEP6,,,,
IFIT3,FBXW5,ZDHHC8,,,,
SNX10,IMPDH1,PDLIM1,,,,
LSAMP,VPS37B,ARHGAP15,,,,
AK1,C5orf42,ARID2,,,,
MARCH10,OR1A1,MS4A7,,,,
BAIAP2L1,PLA2G7,LYST,,,,
NWD1,NHP2,GALNT18,,,,
ENO4,GNE,APAF1,,,,
EZH2,CXCL8,PPARA,,,,
PDE4D,IGSF6,SLK,,,,
TIMELESS,KIAA0355,IFNLR1,,,,
PACSIN1,PATL2,PIGT,,,,
HDGF,HMG20B,ITPKB,,,,
CALM3,PTBP1,P2RX4,,,,
EPB41L4A,C2orf61,PREX1,,,,
DEAF1,FAM134B,NEB,,,,
XYLT1,DUS4L,ETV6,,,,
CREB3L3,ZNF441,LTB4R,,,,
FGD3,EIF6,ABCC1,,,,
PID1,XCL1,LAIR1,,,,
SLC43A1,C20orf27,PRCP,,,,
VMO1,DRG1,SLC5A9,,,,
SVIL,TRIM62,HFE,,,,
RAB27A,LAMB1,ABHD14B,,,,
C6orf48,MXD3,PLEKHB1,,,,
SERPING1,FAM101B,OASL,,,,
DRD4,FAM167A,TMEM41A,,,,
PLCD3,CTNND1,IFIT1,,,,
KCNK13,ZC3H3,SUSD6,,,,
DNAI1,NMBR,MAP1LC3C,,,,
DOCK5,KLRK1,PLXDC2,,,,
XKR8,PLEKHJ1,PTRF,,,,
MSMO1,ADHFE1,NLRP12,,,,
ZAP70,AMPH,EIF2B3,,,,
CKS2,CCDC28A,PSIP1,,,,
TPCN1,U2SURP,PBXIP1,,,,
PDLIM1,TNIP3,SLC16A5,,,,
UBAC2,C17orf62,SERPINB6,,,,
HEATR5B,RNASE1,HIST1H2BD,,,,
TMEM120A,PTPRZ1,MYO18A,,,,
LRRK1,CSNK1E,ADGRE2,,,,
MLLT4,R3HDM2,TKFC,,,,
CCDC167,MAN2B1,TFRC,,,,
KIF20A,HOXB3,OSBPL10,,,,
CGN,ABI3BP,PRPF38A,,,,
FRAT1,TNPO3,CD99L2,,,,
HNMT,PIGT,SLC20A1,,,,
EXO1,UNK,RPS6KA2,,,,
CPE,SPCS3,NBPF14,,,,
IFIT1,CST2,IL18RAP,,,,
MARCKS,SCG5,PML,,,,
SORD,YY1,JARID2,,,,
ARHGAP24,OLFML2A,PTAR1,,,,
PPARA,PIEZO1,CXCL2,,,,
MYO7A,ADRBK1,CA2,,,,
ENPP4,DNAH12,GPR85,,,,
ZCWPW2,ALAS2,SFXN2,,,,
NFATC2,RHOV,SCN9A,,,,
RABL2A,MNDA,ACOX2,,,,
HIST1H1B,RIC1,RNASE6,,,,
ABCB8,FAM126B,PTPRM,,,,
NCKAP5,CHMP1B,VWA8,,,,
PPM1F,TTC38,LMNB1,,,,
LDLRAD4,GRAMD1C,GUSB,,,,
ARMCX1,ARRB2,TMCC2,,,,
SPAG17,LRRC39,C9orf89,,,,
HNRNPUL1,LIMS2,CES4A,,,,
INO80D,MFSD5,BACE2,,,,
IFIT2,APC2,CMKLR1,,,,
PDCL3,ARHGDIB,ST6GALNAC6,,,,
GNPDA1,LGMN,CYBRD1,,,,
UBASH3B,PCDHGB6,BCL7A,,,,
MYCBPAP,ZNF26,FMNL2,,,,
RBMS2,RAB22A,A4GNT,,,,
CDK2,KTN1,PVR,,,,
SEL1L3,TMEM72,IRF5,,,,
CYP4F12,IER2,CRH,,,,
SLC35F3,CTSA,FGD4,,,,
SFXN4,CKAP2L,HMGB2,,,,
AIG1,CENPBD1,EMP1,,,,
HAPLN3,FLII,MME,,,,
CALU,RRM1,MT1F,,,,
C9orf89,CSPP1,TNFRSF10C,,,,
NFIA,EIF4E2,EPB41L1,,,,
FJX1,LMAN1,PBX2,,,,
GNG2,LAD1,SHD,,,,
CSTA,TTBK2,TNFAIP8L1,,,,
SIT1,KANK2,THOC5,,,,
UAP1L1,EIF3B,ARHGAP25,,,,
CC2D2B,FCGR2A,B3GNT7,,,,
NEK10,RRAGB,GABARAPL1,,,,
ZNF302,CAPN5,CDC14A,,,,
ZNF404,FLNA,DST,,,,
SLIT2,ADAMTS15,MAN2B2,,,,
CHL1,MED8,MITF,,,,
FER1L5,TOMM20,STON1,,,,
KIF20B,ART5,SH3BP4,,,,
SPTBN1,IRX6,ENPP4,,,,
CNKSR2,FAM110B,NOTCH1,,,,
TRAF3IP2,OSTF1,DHRS12,,,,
SPATA9,GNPNAT1,KMT2A,,,,
KYNU,CLUAP1,AFF3,,,,
HIVEP3,ATP6V1B2,OGG1,,,,
MCL1,TMC8,AXIN1,,,,
ZNF143,ZNF583,SLC2A9,,,,
PNPLA7,CERS6,LIMA1,,,,
AKNA,PLEKHF2,NFU1,,,,
ERRFI1,GMPPB,INPP5B,,,,
PLP2,KLC3,STK39,,,,
PFKFB4,BRWD1,ZNF365,,,,
ARHGEF26,GPR157,FYB,,,,
TMEM19,ZFP2,PECR,,,,
CD200R1,PPP2R5B,CD48,,,,
LPAR5,GPSM3,MMP19,,,,
SLC29A1,RIPK4,AMOTL1,,,,
RSPH1,NLGN1,IL3RA,,,,
TJP2,ABO,CCDC88C,,,,
PRKCH,MTHFD1,PILRA,,,,
MTL5,PPP2CB,UBE2L6,,,,
ARPIN,PGK1,RASA3,,,,
E2F8,DSP,PRSS27,,,,
SEMA4C,UBAP2L,BOK,,,,
CCR2,CCDC148,SEPT3,,,,
GPT,C16orf86,TMEM176A,,,,
IFT57,CDKL2,STPG1,,,,
HLX,PIM1,PCOLCE2,,,,
CEP76,CYFIP1,HLA-DOB,,,,
SLC2A5,VGLL1,SYNE3,,,,
ME2,PCCB,XXYLT1,,,,
SPOCK2,RCAN2,IQSEC1,,,,
TTC28,SLC35A4,STOM,,,,
ITGAE,SYK,TNFSF11,,,,
TCTN1,PSMC3,SIK2,,,,
TMEM14A,SLCO5A1,PER2,,,,
GCSAML,CD1D,ADCY4,,,,
MTF2,ATP6V0B,ADCY2,,,,
CENPK,ZC3H12A,DBNDD1,,,,
RHOF,TPR,ULK2,,,,
PKIA,KIF15,C16orf54,,,,
TRANK1,MAP2K2,MTCH1,,,,
KIF11,PPP5D1,LRIG1,,,,
DRC1,BRI3,UGT2B11,,,,
ZNF471,C1QTNF3,GID8,,,,
ACOT11,GUCD1,ENO2,,,,
CXCL3,TMEM213,C10orf35,,,,
FOXM1,ELMO1,TTYH3,,,,
LPXN,KRT13,SRD5A2,,,,
DUSP1,WDR81,P2RX5,,,,
STMN3,SERPINH1,C5AR1,,,,
ENPP2,C9orf50,CXCR4,,,,
MMD,SYTL3,TRIM22,,,,
MEI1,PRSS21,SOBP,,,,
ARL5B,ARL4A,TXK,,,,
RASGRF1,AOC1,JAZF1,,,,
RAPGEF3,TNC,MAML3,,,,
CD24,BSPRY,IDO1,,,,
ZC3H8,NMU,BIN2,,,,
FOXJ1,CPM,PHLDA3,,,,
CHSY1,COL4A3,SLC45A3,,,,
OSBPL1A,TOP3A,MACC1,,,,
SEPT4,BOP1,RBP7,,,,
RRAD,CD8B,AKAP5,,,,
TMEM229B,S100A8,KLRB1,,,,
CIDEC,LRRC69,YTHDC1,,,,
DONSON,TNFSF12,ADHFE1,,,,
MAPK15,GPD1,CSF1,,,,
PMFBP1,NNT,NRAS,,,,
IFT88,GNAI3,BPNT1,,,,
BCAR3,ATP6V0A1,TMPRSS11E,,,,
FOLR3,ARSG,KLHL18,,,,
SLC35E3,MFSD12,ARHGAP6,,,,
SLC38A1,CD109,CD96,,,,
P2RX5,PRRX1,TCTN1,,,,
PTPRS,RASGRP2,CDR2L,,,,
DYNLRB2,CYP2C18,PLCL2,,,,
CEP55,CTSV,C14orf159,,,,
ITPRIP,MOG,CACNB2,,,,
CAP2,CCL4,MGAT3,,,,
OPRK1,SMIM19,IL13,,,,
DNAJB6,ARMCX3,TIMP3,,,,
CAST,FAM151B,LRP5,,,,
EFCAB1,MREG,USP40,,,,
LGALS3BP,ACTR3,ALDH1A1,,,,
GPRC5A,CHD9,CCDC88A,,,,
TWSG1,DEAF1,SERPINB9,,,,
RHOV,YTHDF2,H6PD,,,,
ATP8B1,KTI12,TRIM24,,,,
ATG14,ZNF131,ICAM5,,,,
SPEF1,FXYD1,TMEM38A,,,,
COLGALT2,NBEA,ASGR2,,,,
CECR1,MPZL1,SLC4A11,,,,
FKBP9,MAF1,IFI44,,,,
EFHB,ZDHHC23,PELI3,,,,
KCTD5,CHIA,RAPGEF6,,,,
MREG,DDOST,RYBP,,,,
BHLHE41,KLC2,MPZL2,,,,
SUCNR1,WNT5B,MTHFD1,,,,
LAD1,UNC13B,USP1,,,,
ALOX5,KIAA1522,PLXNA2,,,,
MUC5AC,FAM107A,SPIB,,,,
STT3A,ASCC2,CSGALNACT1,,,,
FMN1,TAF1L,GOLGB1,,,,
SYTL1,C19orf68,CIB2,,,,
CYP27B1,PRRC1,TREM1,,,,
TAB3,PRR11,TK2,,,,
MSRB1,ZNF77,ECHDC1,,,,
OTULIN,EFR3A,PLBD1,,,,
KCTD15,ZDHHC18,DNAL4,,,,
CAMSAP2,SYTL5,C22orf29,,,,
CFAP221,GEN1,UBASH3B,,,,
ARL8A,POP5,TMEM53,,,,
ATP6AP1L,HNRNPM,HGF,,,,
BCL3,SIAE,CD207,,,,
ZNF296,CFHR3,RTN1,,,,
HMGB2,ANXA11,SERPINB2,,,,
HNRNPD,YIPF1,TXNDC11,,,,
KIF1BP,AXDND1,ODF3B,,,,
CLEC11A,SLC25A39,TMEM91,,,,
PDXK,ALS2CR12,SEPT11,,,,
CAPZB,RFXAP,ZC3H12C,,,,
TMEM71,HCN4,CARD16,,,,
HAGHL,PLLP,AXL,,,,
NRBP1,SEC13,LAMB1,,,,
GZMB,TNRC6A,NRIP3,,,,
CCDC17,NEK5,HIST2H2BE,,,,
MMP7,SLC25A19,CLCN4,,,,
EIF4B,OAS1,C1orf106,,,,
ECE1,HIST2H4A,DIXDC1,,,,
ACO1,TRIM28,DIP2A,,,,
ORMDL3,ZFYVE16,HEXA,,,,
HIF1A,SPDYA,GLDN,,,,
INPP5J,PMEL,STMN3,,,,
SLC25A53,CDC42EP5,AZI2,,,,
MYH14,TRPV4,PSD4,,,,
KLHL29,TRIM56,CES1,,,,
KRT7,NXPE3,GLTSCR1L,,,,
CTSF,FETUB,NGFR,,,,
IL4I1,STK24,CABP4,,,,
ZFYVE21,RNPEP,FBXO10,,,,
CYP2U1,SIGLEC15,DCDC2B,,,,
HIST1H2AH,SPSB2,ASAP1,,,,
CCDC108,SPI1,CLEC2D,,,,
TIAM2,MS4A6A,DDX60L,,,,
IFI44,ABHD4,MCM5,,,,
RAB2B,SLC35E1,ECM1,,,,
SGMS2,PPM1G,HNMT,,,,
TFDP1,BCO1,SEPT10,,,,
ZDHHC9,HTR1F,IFITM1,,,,
RNASE6,NRAP,PCK2,,,,
EVL,HSD3B7,AEBP1,,,,
LEPROTL1,SYNE2,NUDT6,,,,
FER,C5orf45,TUBG2,,,,
MARC1,SLC19A3,CD4,,,,
CDCP1,PREP,SLC25A37,,,,
PTGIR,ZNF594,TARBP1,,,,
GPR42,PDGFA,PNPLA2,,,,
UBXN11,IL1RL1,TBC1D4,,,,
RUFY3,ARNTL2,RNF135,,,,
CCDC50,MAGED2,POR,,,,
MAGI2,AK2,CLMN,,,,
STMND1,EZH2,TMEM52B,,,,
MOGAT1,HIST2H3D,NIN,,,,
TMEM173,TMEM211,GPA33,,,,
TREM2,C1orf74,RAD21,,,,
SAMD4A,FLG,QDPR,,,,
CD300A,FJX1,KCTD15,,,,
HCAR2,MFNG,SLC7A6,,,,
AKT3,CRYBG3,LRRK1,,,,
ANKRD36,ZNF721,IL15,,,,
SAMD9L,KCNIP3,HOXA9,,,,
NPHP1,DOC2B,MARCKS,,,,
TLR7,DOCK2,STXBP2,,,,
TTC19,EAF2,TRIM13,,,,
TENM4,SERPINF2,SAV1,,,,
ZNF254,COMMD3,CAST,,,,
CD247,BCL2L12,DNAJB11,,,,
NXPE3,ADGRE5,POLRMT,,,,
SCP2,FGFR3,TNNI2,,,,
TCEAL8,ETAA1,C20orf194,,,,
CHD3,IGFBP4,IDNK,,,,
GRB10,KRCC1,CD164L2,,,,
EFNB2,FAM124A,TRIM44,,,,
TSPAN16,SHISA8,PPM1F,,,,
IQCD,SMPDL3B,ZDHHC9,,,,
IER5L,PSMD8,TBC1D9,,,,
TMEM55A,TARS,CD300C,,,,
ATAD3A,NMT1,MSRB2,,,,
CCL8,EML6,PDZD7,,,,
IRAK1BP1,CCR7,MYL9,,,,
IRAK1,HCK,HOXB6,,,,
ZNF787,NCF1,SPON1,,,,
VWA8,GNA15,GXYLT1,,,,
MYBL1,NCEH1,GNAI3,,,,
C20orf85,KCTD13,MX1,,,,
RP1,SMAP1,RFX3,,,,
TSPAN3,ENTPD3,AAMDC,,,,
ITGB8,GCNT3,CACNB3,,,,
LRRC48,NUP188,CSK,,,,
CES1,HNRNPA3,TCL1A,,,,
TMEM245,PCTP,GNG7,,,,
ZNF367,INSR,PLCG2,,,,
FABP4,RSPO3,DCAF4,,,,
